,3000829042-DNA,3000829049-DNA,3000847929-DNA,3000847945-DNA,3000847949-DNA,3000852208-DNA,3000852216-DNA,3000852236-DNA,3000858123-DNA,3000858131-DNA,3000858866-DNA,3000858874-DNA,3000858883-DNA,3000863600-DNA,3000863616-DNA,3000864399-DNA,3000864431-DNA,3000864467-DNA,3000867627-DNA,3000868694-DNA,3000874503-DNA,3000874511-DNA,3000874519-DNA,3000879703-DNA,3000879709-DNA,3000879733-DNA,3000881385-DNA,3000881401-DNA,3000883040-DNA,3000883056-DNA,3000883072-DNA,3000885572-DNA,3000885580-DNA,3000885600-DNA,3000886263-DNA,3000886283-DNA,3000886299-DNA,3000891771-DNA,3000891783-DNA,3001045026-DNA,3001045051-DNA,3001046450-DNA,3001046458-DNA,3001048314-DNA,3001048322-DNA,3001048330-DNA,3001053907-DNA,3001053923-DNA,3001053940-DNA,3001056120-DNA,3001056128-DNA,3001056136-DNA,3001060880-DNA,3001063025-DNA,3001063041-DNA,3001063053-DNA,3001065168-DNA,3001065176-DNA,3001065184-DNA,3001070218-DNA,3001070226-DNA,3001071356-DNA,3001071364-DNA,3001076925-DNA,3001076933-DNA,3001076976-DNA,3001087062-DNA,3001087070-DNA,3001087078-DNA,3001090046-DNA,3001090070-DNA,3001092225-DNA,3001092258-DNA,3001093737-DNA,3001093757-DNA,3001094393-DNA,3001094401-DNA,3001097048-DNA,3001097056-DNA,3001097072-DNA,3001099226-DNA,3001099234-DNA,3001099250-DNA,3001100999-DNA,3001101039-DNA,3001102443-DNA,3001102451-DNA,3001102495-DNA,3001168525-DNA,3001168533-DNA,3001168541-DNA,3001172116-DNA,3001172132-DNA,3001172140-DNA,3001172778-DNA,3001172786-DNA,3001172810-DNA,3001175177-DNA,3001175193-DNA,3001175224-DNA,3001177343-DNA,3001177351-DNA,3001177411-DNA,3001180259-DNA,3001180260-DNA,3001180268-DNA,3001184945-DNA,3001184953-DNA,3001184969-DNA,3001185736-DNA,3001195230-DNA,3001195247-DNA,3001198161-DNA,3001198169-DNA,3001198225-DNA,3001201470-DNA,3001201485-DNA,3001201505-DNA,3001206694-DNA,3001206722-DNA,3001206725-DNA,3001212748-DNA,3001212756-DNA,3001212764-DNA,3001215694-DNA,3001215710-DNA,3001215725-DNA,3001221246-DNA,3001221254-DNA,3001221282-DNA,3001222449-DNA,3001222477-DNA,3001225986-DNA,3001226004-DNA,3001226011-DNA,3001231121-DNA,3001231137-DNA,3001231145-DNA,3001322433-DNA,3001322441-DNA,3001323173-DNA,3001323185-DNA,3001324264-DNA,3001324280-DNA,3001324288-DNA,3001326467-DNA,3001326483-DNA,3001326503-DNA,3001328911-DNA,3001328919-DNA,3001328927-DNA,3001332903-DNA,3001332911-DNA,3001332927-DNA,3001335441-DNA,3001335473-DNA,3001336332-DNA,3001336340-DNA,3001336356-DNA,3001341747-DNA,3001341755-DNA,3001341779-DNA,3001344067-DNA,3001344083-DNA,3001347849-DNA,3001347857-DNA,3001347875-DNA,3001348312-DNA,3001348320-DNA,3001351690-DNA,3001351698-DNA,3001351708-DNA,3001352787-DNA,3001352795-DNA,3001352807-DNA,3001357226-DNA,3001357238-DNA,3001357258-DNA,3001359894-DNA,3001359901-DNA,3001359941-DNA,3001361919-DNA,3001361935-DNA,3001368261-DNA,3001368269-DNA,3001368277-DNA,3001369346-DNA,3001369354-DNA,3001369378-DNA,3001370799-DNA,3001370807-DNA,3001370851-DNA,3001378114-DNA,3001378122-DNA,3001379500-DNA,3001379508-DNA,3001379528-DNA,3001384560-DNA,3001384568-DNA,3001384576-DNA,3001421314-DNA,3001421330-DNA,3001421342-DNA,3001425825-DNA,3001425833-DNA,3001425865-DNA,3001427154-DNA,3001427166-DNA,3001427175-DNA,3001428244-DNA,3001428252-DNA,3001428260-DNA,3001439963-DNA,3001439971-DNA,3001439979-DNA,3001448375-DNA,3001448383-DNA
Bacteria: Corynebacterium pseudodiphtheriticum,9.4838,0.0,2.6353,0.0,0.0,17.7097,17.851,3.4206,0.0,0.0,0.0,0.0,0.0,8.8558,5.363,1.7825,0.0,6.9712,0.0,0.0,7.9369,0.0,0.0,0.0,17.6335,16.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5687,12.5243,10.2913,0.0,0.0,0.0,0.0,0.0,0.0,14.1379,0.0,8.2655,13.517,19.9688,0.0,0.0,0.0,0.0,25.1346,0.0,0.6883,7.9216,42.9311,7.8846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6064,45.5925,0.0,0.0,0.0,7.4635,0.0,0.0,0.0,15.9939,6.4106,8.4613,15.6163,0.0,0.0,0.0,0.0,0.0,0.0,8.0073,13.2113,1.6142,15.9728,7.3298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7014,10.095,22.6887,0.0,0.0,0.0,0.0,41.0864,31.99,54.6863,3.8582,4.56,0.0,0.0,0.0,0.0,16.6461,3.6053,7.2621,0.0,0.0,8.5646,0.0,0.0,0.0,0.0,0.0,0.0,4.8161,0.0,0.0,0.0,0.0,0.0,10.9811,0.0,6.4154,12.351,0.0,0.0,0.0,0.0,9.2311,0.0,0.0,0.0,0.0,0.0,0.0,31.6062,63.4464,0.0,0.0,33.3619,13.0433,0.0,0.0,0.0,0.0,0.0,10.2097,0.0,0.0,0.0,0.0,7.7287,0.0,0.0,0.0,7.883,0.0,0.0,0.0,4.4367,0.0,0.0,0.0,0.0,21.1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5196,10.714,0.0,0.0,0.0,7.5108,0.0,0.0,0.0,0.0,0.0,17.6024,0.0,0.0,0.0,24.5055,0.0,17.1212,64.4809,0.0
Bacteria: Dolosigranulum pigrum,62.4708,32.6892,5.6199,0.0,22.4431,0.0,13.0565,4.4426,0.0,0.0,35.4516,51.928,32.1794,76.9012,56.1212,0.0,0.0,33.1329,0.0,0.0,23.9467,0.0,0.0,0.0,8.3911,26.2062,12.3591,11.759,0.0,0.0,0.0,0.0,0.0,0.0,74.6151,43.876,76.9114,0.0,0.0,0.0,0.0,0.0,0.0,52.2193,0.0,21.5883,10.1316,28.5899,0.0,0.0,0.0,0.0,64.223,0.0,6.1135,0.0,46.41,15.3814,0.0,34.9919,0.0,34.6173,64.3341,0.0,0.0,0.0,25.2916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9425,0.0,0.0,0.0,0.0,50.7706,41.4106,0.0,21.7704,59.0254,30.2116,8.0927,19.5354,0.0,0.0,0.0,0.0,34.0333,22.1802,24.0461,49.3991,49.9135,14.7411,11.6234,12.3369,17.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1279,17.0826,50.7636,3.8484,0.0,0.0,0.0,0.0,0.0,0.0,5.9373,23.284,0.0,0.0,0.0,0.0,21.2524,2.8402,1.4194,0.0,0.0,19.3731,0.0,0.0,0.0,0.0,0.0,32.5764,18.3905,10.4477,0.0,0.0,0.0,0.0,21.4265,10.8586,18.4068,0.0,0.0,0.0,0.0,0.0,24.3617,0.0,0.0,0.0,48.0635,0.0,89.3387,62.4253,7.2993,0.0,0.0,26.6305,28.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6239,43.1009,0.0,50.386,0.0,0.0,0.0,0.0,37.562,21.5206,0.0,0.0,5.9411,28.4279,0.0,0.0,0.0,30.3393,0.0,15.9675,50.4479,18.8383,14.5861,0.0,0.0,0.0,0.0,29.3632
Bacteria: Francisella sp,3.9733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6414,7.2414,0.0,0.0,0.0,39.8416,0.0,0.0,0.0,0.0,0.0,0.0,8.1315,2.2084,31.6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833,7.3351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6958,1.0344,0.0,1.5163,2.7578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3585,56.5866,0.0,0.0,0.0,0.0,0.0,0.0,13.6171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7479,18.9212,18.6385,0.0,0.0,0.0,0.0,0.0,0.0,9.9248,0.0,1.7081,0.0,0.0,0.0,1.8202,22.5752,7.0699,0.0,0.0
Bacteria: Moraxella catarrhalis,2.4907,0.0,0.0,0.0,3.2802,0.0,1.8168,0.0,0.0,0.0,0.0,0.0,0.0,2.0499,5.1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5564,0.0,0.0,0.0,0.0,13.3644,2.2346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6359,0.0,7.9039,0.0,0.0,0.0,0.0,0.0,0.0,8.0403,15.7413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4377,0.0,0.0,0.0,0.0,0.0,40.4773,10.1845,32.4011,3.6452,8.8908,0.0,0.0,0.0,0.0,15.6593,22.1347,15.093,0.0,0.0,0.0,0.0,28.5485,5.8241,4.8409,0.0,0.0,0.0,0.0,0.0,35.7374,17.826,2.9334,10.5365,0.0,0.0,0.0,0.0,0.0,0.0,44.64,0.0,0.0,0.0,85.045,3.9104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9332,3.52,21.3354,30.1798,0.0,15.4306,0.0,0.0,0.0,0.0,0.0,0.0,44.4828,0.0,0.0,0.0,0.0,0.0,3.5465,8.9291,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11.9661,0.0,0.0,5.7627,0.0,0.0,26.3628,100.0,0.0,15.2876,59.8786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7055
Bacteria: Moraxella lincolnii,3.7162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2606,41.9127,0.0,0.0,0.0,0.0,22.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6409,88.241,95.2631,99.1714,46.4254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2199,49.2329,0.0,90.7981,3.0903,87.1821,0.0,0.0,90.2352,55.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4015,68.3228,59.0131,69.1176,32.157,14.7251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3358,35.6103,93.7044,0.0,0.0,0.0,0.0,52.8773,44.1814,0.0,92.3717,72.0623,0.0,30.5442,0.0,0.0,0.0,0.0,0.0,80.5547,69.9103,0.0,0.0,0.0,0.0,0.0,0.0,79.3362,84.0374,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,47.6342,0.0,0.0,18.0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria: Moraxella nonliquefaciens,16.076,0.0,76.9735,0.0,68.3091,21.4966,67.2756,92.1367,11.5271,0.0,46.3397,48.072,55.8346,0.0,0.0,0.0,0.0,0.0,0.0,16.0271,60.2392,0.0,0.0,0.0,52.7963,57.7076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.257,33.6428,0.0,65.5506,0.0,0.0,0.0,0.0,0.0,0.0,10.6424,0.0,0.7283,0.0,6.16,24.6057,0.0,0.0,0.0,0.0,0.0,72.4764,18.9869,66.0167,24.8958,17.5649,10.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.766,58.5894,0.0,55.8674,0.0,39.0265,26.638,27.1112,0.0,0.0,0.0,0.0,0.0,0.0,17.2044,20.6139,46.7876,0.0,7.9755,11.1515,9.1051,51.4656,12.6633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8231,29.1987,66.3847,26.5477,96.1516,0.0,0.0,0.0,0.0,0.0,0.0,25.9042,10.2438,0.0,0.0,0.0,0.0,39.9791,18.4456,30.3609,0.0,0.0,0.0,68.5185,15.3569,88.5787,61.8138,34.297,67.4236,68.8013,0.0,0.0,0.0,0.0,2.3205,19.767,0.0,70.1571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9702,100.0,0.0,0.0,0.0,0.0,0.0,9.3978,9.6,100.0,83.3483,96.0668,0.0,0.0,0.0,0.0,0.0,0.0,100.0,79.9328,50.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8326,18.9214,0.0,49.1855,43.0628,0.0,0.0,0.0,100.0,0.0,83.5171,0.0,0.0,13.7257,19.5537,4.4745,44.7875,24.6374,42.5496,0.0,29.5414,6.3063,3.5505,29.1326,81.1617,63.2806,0.0,0.0,0.0,35.5191,23.2813
Bacteria: Cutibacterium acnes,0.0,18.4288,0.0,0.0,0.0,13.7567,0.0,0.0,0.0,0.0,0.0,0.0,6.5187,0.0,0.0,2.3204,0.0,0.0,26.0334,20.7183,0.0,0.0,33.5339,30.0136,0.0,0.0,0.0,0.0,0.0,0.0,53.5746,18.9951,6.9086,7.7254,2.0799,5.0646,0.0,35.8706,0.0,33.5076,100.0,0.0,0.0,0.0,21.6422,0.0,0.0,0.0,0.0,9.2019,0.0,0.0,0.0,14.5267,0.0,4.3026,4.4989,0.0,23.866,0.0,0.0,0.0,0.0,27.5236,22.8348,0.0,0.0,0.0,30.0307,24.66,51.8584,0.0,14.4203,0.0,50.5984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3622,7.0958,0.0,2.9466,29.8332,0.3148,42.4882,36.3615,0.0,0.0,0.0,4.5936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,21.512,0.0,0.0,42.0719,1.2076,0.0,0.0,0.0,0.0,100.0,0.0,62.2699,18.4363,0.0,2.8168,0.0,0.0,0.0,38.7119,8.8756,100.0,2.7495,0.0,1.6831,100.0,7.6283,0.0,0.0,0.0,4.2473,0.0,22.2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5781,0.0,3.9321,0.0,0.0,0.0,0.0,30.1536,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7993,0.0,2.1374,0.0,0.0,16.6517,0.0,0.0,0.0,0.0,100.0,3.9046,9.5344,0.0,12.3385,27.5344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,0.0,0.0,38.5628,0.0,0.0,66.7416,0.0,0.0,0.0,0.0,0.0,0.0,7.2039,15.8864,14.6753,0.0,4.7474,7.4056,14.7489,0.0,7.1883,0.0,0.0,10.4092,0.0,4.5134,9.3058,0.0,0.0,0.0,0.0
Bacteria: Haemophilus influenzae,0.0,48.882,14.7713,13.4485,4.0679,0.0,0.0,0.0,48.0143,49.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1283,0.0,0.0,0.0,12.1667,35.6659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8884,90.8744,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3816,0.0,0.0,0.0,0.0,8.829,0.0,0.0,51.5752,0.0,0.0,0.0,25.8309,37.0903,24.7651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3193,17.4112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8871,30.0897,0.0,0.0,57.5738,0.0,0.0,0.0,4.3807,6.7639,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.9685,29.2543,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6105,0.0,80.6648,90.4656,0.0,0.0,0.0,0.0,0.0,0.0,84.1912,100.0,81.9005,59.422,0.0,60.2293,47.0534,61.4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7958,16.3386,0.0,12.5667,33.5659,0.0,0.0,0.0,17.6198,0.0,0.0,0.0,0.0,0.0
Bacteria: Gardnerella vaginalis,0.0,0.0,0.0,57.5557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria: Megasphaera lornae,0.0,0.0,0.0,8.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
